,0
ENSG00000177359,14.432355538197822
ENSG00000198692,14.328297120141988
ENSG00000129824,12.182960384822735
ENSG00000182463,12.074611294928454
ENSG00000257207,11.979444746938839
ENSG00000183878,11.027238001945756
ENSG00000198336,10.84644016331755
ENSG00000249203,9.43191676664076
ENSG00000238683,9.140458535835572
ENSG00000240356,8.56009184521005
ENSG00000248538,8.5540754886667
ENSG00000223553,8.333383085517472
ENSG00000012223,8.145181996177307
ENSG00000054654,8.024486711643902
ENSG00000134201,7.852179989103417
ENSG00000137642,7.841361606379634
ENSG00000106066,7.8059988232951465
ENSG00000155657,7.788120583848041
ENSG00000067048,7.581043371485894
ENSG00000184319,7.492321748157575
ENSG00000134184,7.483161315596496
ENSG00000164308,7.41379870222253
ENSG00000134516,7.3977995686733555
ENSG00000138378,7.3970079233599675
ENSG00000187010,7.396165701741598
ENSG00000156381,7.339751899528357
ENSG00000038427,7.336398025171402
ENSG00000239839,7.333358151238956
ENSG00000115232,7.237008603481623
ENSG00000196305,7.228207720352986
ENSG00000121316,7.22758093243698
ENSG00000147168,7.226441924037987
ENSG00000196565,7.156620915704841
ENSG00000104903,7.132399021602159
ENSG00000185340,7.105752368335997
ENSG00000260017,7.048718160527393
ENSG00000156738,6.954469017314162
ENSG00000154620,6.911359896345252
ENSG00000133742,6.8803492794991445
ENSG00000139641,6.869122685028932
ENSG00000049860,6.7641955202080295
ENSG00000111371,6.7427349121527005
ENSG00000149311,6.7367768250777855
ENSG00000136250,6.733502941742565
ENSG00000119535,6.705310164100049
ENSG00000158578,6.678603398034526
ENSG00000188906,6.649831492592658
ENSG00000162598,6.594418149488293
ENSG00000154359,6.545712290865999
ENSG00000140575,6.512765386406185
ENSG00000204710,6.505839383769751
ENSG00000157601,6.489832696439734
ENSG00000189091,6.481459784458807
ENSG00000085265,6.481409251379217
ENSG00000134759,6.426082246610972
ENSG00000115919,6.398407716191852
ENSG00000115368,6.388742984965187
ENSG00000076928,6.372747813658591
ENSG00000132300,6.34387654090029
ENSG00000130935,6.339830788523604
ENSG00000147162,6.32547878323832
ENSG00000171566,6.316684457723421
ENSG00000166598,6.312418421796886
ENSG00000229164,6.305123660843958
ENSG00000180448,6.3045543858586575
ENSG00000182866,6.303465838331018
ENSG00000143119,6.290055676995334
ENSG00000197043,6.281268119918304
ENSG00000103811,6.263089431116803
ENSG00000138795,6.262868166408303
ENSG00000065413,6.257969578111871
ENSG00000030066,6.244153322523124
ENSG00000151726,6.232895541968186
ENSG00000163660,6.224720404753432
ENSG00000134697,6.22416589753312
ENSG00000167286,6.211937260622101
ENSG00000164062,6.20107294548938
ENSG00000123130,6.199044626034074
ENSG00000110719,6.19507467692954
ENSG00000115457,6.183734139226741
ENSG00000138095,6.176158371945438
ENSG00000119203,6.166725754679875
ENSG00000142166,6.159701846065545
ENSG00000053900,6.149051100723604
ENSG00000120708,6.147108914966966
ENSG00000196611,6.144467325572655
ENSG00000173020,6.129603887242331
ENSG00000198223,6.128632935815965
ENSG00000198502,6.127054853521232
ENSG00000124784,6.113981164739582
ENSG00000065833,6.109047016153938
ENSG00000138363,6.1081525421083445
ENSG00000101425,6.095909149196796
ENSG00000162231,6.095411359646395
ENSG00000121064,6.093139299280717
ENSG00000052841,6.070105846877522
ENSG00000185736,6.070018494584693
ENSG00000137267,6.0622970696268315
ENSG00000182578,6.058193122102962
ENSG00000009790,6.052994882713274
ENSG00000129460,6.0377481509658795
ENSG00000079263,6.030258932269787
ENSG00000136628,6.019450235749831
ENSG00000168685,6.019290503379242
ENSG00000135596,6.008102668063172
ENSG00000112983,5.998959075155301
ENSG00000074696,5.971593248810048
ENSG00000004534,5.96632751306159
ENSG00000047365,5.957757408235722
ENSG00000145725,5.956847389708222
ENSG00000065150,5.948282432204694
ENSG00000096060,5.940564709483124
ENSG00000138119,5.930402306158534
ENSG00000113240,5.920196284825621
ENSG00000110077,5.918093291126595
ENSG00000079134,5.9142950522509015
ENSG00000160654,5.913375729287935
ENSG00000007312,5.9133455883917465
ENSG00000167100,5.897342004277543
ENSG00000211899,5.892913989626383
ENSG00000115233,5.890326184853413
ENSG00000071909,5.869691881196867
ENSG00000070961,5.867938566104814
ENSG00000162688,5.867885570880516
ENSG00000206549,5.865335861881641
ENSG00000183431,5.860969715801475
ENSG00000138035,5.851732528395992
ENSG00000131018,5.844234888029519
ENSG00000179364,5.838513771782484
ENSG00000197943,5.8247165173551165
ENSG00000155229,5.8207497475183585
ENSG00000117360,5.816569602278744
ENSG00000134910,5.810640542606845
ENSG00000105329,5.806831795344501
ENSG00000102900,5.804554099214093
ENSG00000134539,5.802041261468482
ENSG00000100347,5.798275343588426
ENSG00000160883,5.796311885801203
ENSG00000112118,5.793964106690573
ENSG00000077232,5.790694022208299
ENSG00000110080,5.790592996686821
ENSG00000005844,5.78088608811612
ENSG00000091490,5.776968174369748
ENSG00000103316,5.762302058565399
ENSG00000091592,5.756843893638225
ENSG00000131473,5.753825730568067
ENSG00000184575,5.751328849081421
ENSG00000104814,5.745514606257674
ENSG00000160593,5.744567128286025
ENSG00000137628,5.742605005256847
ENSG00000131373,5.740215626707629
ENSG00000143486,5.732467425472586
ENSG00000167325,5.731564197386174
ENSG00000101596,5.729501861078316
ENSG00000198851,5.727974851084639
ENSG00000136286,5.724258590723244
ENSG00000123384,5.7183255459248805
ENSG00000134242,5.716694051143302
ENSG00000131042,5.7136209488893375
ENSG00000108651,5.711272192314887
ENSG00000018280,5.709094573381029
ENSG00000055163,5.708719361234608
ENSG00000197872,5.708060618791751
ENSG00000164163,5.706269662241142
ENSG00000120697,5.706180559556258
ENSG00000112367,5.700929638707126
ENSG00000138246,5.693509457621657
ENSG00000183735,5.692115411294467
ENSG00000105819,5.6896094781969975
ENSG00000170345,5.684368357295928
ENSG00000112077,5.683675387069324
ENSG00000075884,5.681420521128428
ENSG00000175606,5.673509404634736
ENSG00000138768,5.668420385783464
ENSG00000095319,5.666297482702567
ENSG00000109790,5.6655838208996165
ENSG00000135317,5.661332925876649
ENSG00000135636,5.65618880763928
ENSG00000150045,5.65104366411586
ENSG00000079805,5.647958932992569
ENSG00000005189,5.643343298044436
ENSG00000164674,5.640703235826136
ENSG00000042980,5.6359375065265915
ENSG00000123338,5.635016640331665
ENSG00000163913,5.633657733708439
