,chi2,p_value,dof,odds_ratio,unique_count
ENSG00000179447,30.988237765175388,8.549093697652417e-07,3,,4
ENSG00000260592,30.988237765175388,8.549093697652417e-07,3,,4
ENSG00000254862,30.988237765175384,8.549093697652433e-07,3,,4
ENSG00000230613,30.988237765175384,8.549093697652433e-07,3,,4
ENSG00000236844,43.05404589371981,8.580809705213567e-07,8,,9
ENSG00000167264,107.16969426245782,8.6594424782801e-07,46,,47
ENSG00000148948,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000229473,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000183092,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000105479,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000211660,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000254607,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000234807,30.960864333176374,8.663304371707673e-07,3,,4
ENSG00000198171,107.16734334765542,8.665564731007325e-07,46,,47
ENSG00000066379,104.16582059245103,8.681762593012321e-07,44,,45
ENSG00000179335,210.42270531400965,8.723316908872233e-07,121,,122
ENSG00000143303,70.9244484900407,8.747469263628337e-07,23,,24
ENSG00000245975,30.933687832342823,8.77819968757056e-07,3,,4
ENSG00000244045,30.933687832342823,8.77819968757056e-07,3,,4
ENSG00000198250,30.933687832342823,8.77819968757056e-07,3,,4
ENSG00000253539,30.933687832342823,8.77819968757056e-07,3,,4
ENSG00000199753,30.933687832342823,8.77819968757056e-07,3,,4
ENSG00000238260,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000261568,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000265813,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000230583,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000272767,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000228323,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000158008,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000250682,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000238125,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000205361,30.90670614513532,8.893775753191299e-07,3,,4
ENSG00000250786,30.906706145135317,8.893775753191302e-07,3,,4
ENSG00000106633,30.906706145135317,8.893775753191302e-07,3,,4
ENSG00000100138,159.6527777777778,8.897253697312303e-07,83,,84
ENSG00000085231,162.37771739130432,8.911827706918582e-07,85,,86
ENSG00000273145,40.78252740616872,8.912600689826647e-07,7,,8
ENSG00000237481,30.879917184265015,9.010028656481079e-07,3,,4
ENSG00000197794,30.879917184265015,9.010028656481079e-07,3,,4
ENSG00000256582,30.879917184265015,9.010028656481079e-07,3,,4
ENSG00000144278,30.879917184265015,9.010028656481079e-07,3,,4
ENSG00000182584,30.87991718426501,9.010028656481095e-07,3,,4
ENSG00000204928,30.87991718426501,9.010028656481095e-07,3,,4
ENSG00000184208,47.10527190533175,9.035363006590984e-07,10,,11
ENSG00000105699,105.53317367515737,9.037983846613634e-07,45,,46
ENSG00000236397,214.15157004830914,9.082016826273895e-07,124,,125
ENSG00000110108,96.42020469466122,9.1170753144554e-07,39,,40
ENSG00000223715,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000267733,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000227857,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000137970,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000131183,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000188523,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000260930,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000259469,30.85331889215535,9.126954466230918e-07,3,,4
ENSG00000124003,30.853318892155347,9.126954466230921e-07,3,,4
ENSG00000227117,30.853318892155347,9.126954466230921e-07,3,,4
ENSG00000162729,65.65377208101701,9.17822211140693e-07,20,,21
ENSG00000242989,30.838940648723256,9.190790388704886e-07,3,,4
ENSG00000089012,96.39355852611999,9.193670311345235e-07,39,,40
ENSG00000153391,123.08839070048307,9.195496334869431e-07,57,,58
ENSG00000204622,30.828834183040236,9.235927146906537e-07,3,,4
ENSG00000117122,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000118004,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000157429,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000255101,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000163518,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000187959,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000205057,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000187987,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000224374,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000157111,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000235640,30.826909240415258,9.244549233014445e-07,3,,4
ENSG00000104691,79.03110072058942,9.297659402517776e-07,28,,29
ENSG00000251136,69.03458945893553,9.376006151466726e-07,22,,23
ENSG00000178988,77.37063977393261,9.391865289077487e-07,27,,28
ENSG00000141522,153.930404589372,9.443721823382909e-07,79,,80
ENSG00000167925,68.99352908302579,9.515802840711007e-07,22,,23
ENSG00000231160,46.97284240762502,9.550722805179403e-07,10,,11
ENSG00000234608,33.47180537529743,9.56187606476764e-07,4,,5
ENSG00000088038,77.29177323103153,9.650117142385922e-07,27,,28
ENSG00000259165,48.937516469038215,9.708140669381215e-07,11,,12
ENSG00000213269,27.68642951251647,9.726760434846088e-07,2,,3
ENSG00000105204,77.25426764908863,9.775369376377586e-07,27,,28
ENSG00000141013,56.54106280193237,9.816112731902798e-07,15,,16
ENSG00000156471,166.06440039784027,9.825448510387925e-07,88,,89
ENSG00000225975,99.22898860398861,9.831135463246175e-07,41,,42
ENSG00000115896,131.41521672771674,9.87611810447494e-07,63,,64
ENSG00000269755,40.54004774525836,9.91991150239563e-07,7,,8
ENSG00000196230,285.0,9.956819443016852e-07,180,,181
ENSG00000204832,88.3921720862258,9.971167813836013e-07,34,,35
ENSG00000174405,46.85544110786943,1.0031886432922172e-06,10,,11
ENSG00000165506,50.81641043378628,1.0035956760458143e-06,12,,13
ENSG00000132485,209.79166666666663,1.0038281012395841e-06,121,,122
ENSG00000182872,111.12076991109248,1.0044677832759263e-06,49,,50
ENSG00000158411,153.65791062801932,1.012496085733089e-06,79,,80
ENSG00000197114,38.196163781535155,1.028398615719393e-06,6,,7
ENSG00000198246,67.06597963290444,1.0297254335071867e-06,21,,22
ENSG00000162241,68.74901313696412,1.039184012194892e-06,22,,23
ENSG00000147130,72.09391674662088,1.0487935580504655e-06,24,,25
ENSG00000065029,113.84988929146533,1.0679168878660515e-06,51,,52
ENSG00000211789,46.69164470794906,1.0743560143291796e-06,10,,11
ENSG00000186687,89.71266103059581,1.0783326302078533e-06,35,,36
ENSG00000145649,164.32410282953762,1.080367913674683e-06,87,,88
ENSG00000124226,162.9616330227743,1.0816789907157477e-06,86,,87
ENSG00000112304,84.98543978163543,1.0844856082749666e-06,32,,33
ENSG00000196507,91.21137781803542,1.0975345672697046e-06,36,,37
ENSG00000183527,80.15270035108563,1.1003478225081163e-06,29,,30
ENSG00000181039,40.30042270531401,1.102628917297449e-06,7,,8
ENSG00000131669,198.89190821256037,1.1062668234690576e-06,113,,114
ENSG00000119688,110.79179160419791,1.1065552026206725e-06,49,,50
ENSG00000237254,42.46002215005913,1.1099367445008517e-06,8,,9
ENSG00000103978,176.25013724198504,1.1347212408253367e-06,96,,97
ENSG00000247287,46.51604445667462,1.1562117862652816e-06,10,,11
ENSG00000011132,84.78205129995382,1.159564933842726e-06,32,,33
ENSG00000099910,63.24860646599777,1.1724141153228725e-06,19,,20
ENSG00000159055,66.64947829115745,1.197926682352132e-06,21,,22
ENSG00000183624,97.0483714822483,1.2067168878504905e-06,40,,41
ENSG00000169660,64.90872352285396,1.2068036789536389e-06,20,,21
ENSG00000135913,143.30314009661836,1.2070708225253064e-06,72,,73
ENSG00000223361,90.9064440993789,1.2097491042764911e-06,36,,37
ENSG00000170779,37.82819243649043,1.2136608254117226e-06,6,,7
ENSG00000220842,50.33276023963245,1.2210523519008626e-06,12,,13
ENSG00000258405,40.05709003961284,1.2275132677675072e-06,7,,8
ENSG00000211779,40.038352010242605,1.2376929991717956e-06,7,,8
ENSG00000100101,122.00668896321068,1.2470516095341602e-06,57,,58
ENSG00000132003,32.90815062554193,1.2473339191689443e-06,4,,5
ENSG00000259293,37.766965334900114,1.247555008987029e-06,6,,7
ENSG00000178163,64.81303166351606,1.2498878798213603e-06,20,,21
ENSG00000084623,284.99999999999994,1.2656352392881848e-06,181,,182
ENSG00000136146,189.08212560386468,1.26626048657544e-06,106,,107
ENSG00000223773,177.09239130434784,1.2769015098770788e-06,97,,98
ENSG00000125245,48.25473426858914,1.2858328448396182e-06,11,,12
ENSG00000115053,268.65036231884056,1.287541314523734e-06,168,,169
ENSG00000030110,123.32519642258423,1.288162171750766e-06,58,,59
ENSG00000142188,128.97523180613987,1.306102649644033e-06,62,,63
ENSG00000140990,170.28004227053137,1.3122015080877565e-06,92,,93
ENSG00000117450,230.50120772946855,1.3179263255585617e-06,138,,139
ENSG00000230581,32.78581780538302,1.3213636137524918e-06,4,,5
ENSG00000122679,99.75264771460425,1.332247486671318e-06,42,,43
ENSG00000163541,203.25181159420285,1.3471620334482604e-06,117,,118
ENSG00000185905,46.13157806801474,1.357620880166699e-06,10,,11
ENSG00000204428,227.77626811594203,1.3633555016503208e-06,136,,137
ENSG00000087266,92.04500784663828,1.3752288060118994e-06,37,,38
ENSG00000147471,156.5314833113746,1.3833472484333565e-06,82,,83
ENSG00000029725,123.06482919254657,1.3851718408294657e-06,58,,59
ENSG00000104897,115.83354682086566,1.3966925413984532e-06,53,,54
ENSG00000159445,101.07728815273077,1.4062731952533485e-06,43,,44
ENSG00000162910,135.73936832089007,1.409788677309472e-06,67,,68
ENSG00000250101,32.61924034183516,1.4292542621406305e-06,4,,5
ENSG00000197620,85.7036047654139,1.4354009991324037e-06,33,,34
ENSG00000166797,176.54740338164248,1.453233205367914e-06,97,,98
ENSG00000176978,222.32638888888889,1.456493859977924e-06,132,,133
ENSG00000234337,41.82227915565588,1.46230682960342e-06,8,,9
ENSG00000247828,99.44663360368546,1.4627153215271401e-06,42,,43
ENSG00000170482,32.566402919863606,1.4652767228074458e-06,4,,5
ENSG00000175505,32.5664029198636,1.4652767228074488e-06,4,,5
ENSG00000136827,121.42576777087646,1.4675100323092821e-06,57,,58
ENSG00000065600,159.00398263170004,1.4719244562413174e-06,84,,85
ENSG00000163050,159.00116178323876,1.4729555337495954e-06,84,,85
ENSG00000054116,153.42434437543133,1.5209870566154116e-06,80,,81
ENSG00000224505,29.763989533011276,1.5471615589600687e-06,3,,4
ENSG00000184277,153.2945853462158,1.5715111693850564e-06,80,,81
ENSG00000151065,83.81970219158713,1.589926132343718e-06,32,,33
ENSG00000225506,69.24050391166216,1.5922151242608906e-06,23,,24
ENSG00000072756,135.25808028525418,1.6025912256613516e-06,67,,68
ENSG00000117500,135.25808028525418,1.6025912256613516e-06,67,,68
ENSG00000150687,39.44605299242664,1.6064855344717891e-06,7,,8
ENSG00000236472,32.357057351582014,1.6171125030962283e-06,4,,5
ENSG00000139192,137.94630758807588,1.6469964902576073e-06,69,,70
ENSG00000133028,65.76919009773147,1.64748082314549e-06,21,,22
ENSG00000251301,252.30072463768113,1.6481368984272423e-06,156,,157
ENSG00000100418,130.89053891393212,1.6720477568543503e-06,64,,65
ENSG00000131748,143.43289912583393,1.6737471024598662e-06,73,,74
ENSG00000267100,34.75322420634921,1.6852688456512266e-06,5,,6
ENSG00000163900,106.41321226032947,1.6867992016303114e-06,47,,48
ENSG00000154856,169.19006642512073,1.706293564704072e-06,92,,93
ENSG00000273117,100.39442431561996,1.7291409647140624e-06,43,,44
ENSG00000024422,78.78259522281263,1.743573298499593e-06,29,,30
ENSG00000160188,154.2028985507246,1.7617377960296621e-06,81,,82
ENSG00000247934,47.45793075684381,1.7830607048510488e-06,11,,12
ENSG00000138835,183.63224637681162,1.784967465807501e-06,103,,104
ENSG00000267243,203.25181159420288,1.7983675231667228e-06,118,,119
ENSG00000068971,63.793294944789515,1.8143787309591404e-06,20,,21
ENSG00000141956,63.781188241106726,1.8224018666505858e-06,20,,21
ENSG00000236320,140.30570652173913,1.8377836437122883e-06,71,,72
ENSG00000136243,116.3107028278362,1.8395551775625896e-06,54,,55
ENSG00000117419,120.60599602159705,1.8446449533280025e-06,57,,58
ENSG00000256039,53.063715110550156,1.8555566333035264e-06,14,,15
ENSG00000211659,73.75368823418694,1.8566744302591132e-06,26,,27
ENSG00000149636,95.5928921459106,1.8916495805759005e-06,40,,41
ENSG00000167747,60.19248188405799,1.9045833210732655e-06,18,,19
ENSG00000125531,36.808906673037114,1.9185458279823217e-06,6,,7
ENSG00000128311,180.67374051069703,1.9197627467793127e-06,101,,102
ENSG00000130165,116.15647564196955,1.9215117370336105e-06,54,,55
ENSG00000216917,36.80235018347877,1.9241970107684026e-06,6,,7
ENSG00000124222,31.98265621287717,1.928775902032024e-06,4,,5
ENSG00000182628,137.30827294685992,1.94772118537523e-06,69,,70
ENSG00000234719,31.944676700111483,1.9635559130172593e-06,4,,5
ENSG00000213315,29.244953416149073,1.9891094892176237e-06,3,,4
ENSG00000176390,146.88448930296758,1.9915445448648894e-06,76,,77
ENSG00000149403,76.78001111877923,1.9939927230313837e-06,28,,29
ENSG00000211784,34.37220221647561,2.0073735319043363e-06,5,,6
ENSG00000004779,172.4989216701173,2.016033677440639e-06,95,,96
ENSG00000181929,155.02038043478262,2.0164771301436648e-06,82,,83
ENSG00000186532,87.7058877364584,2.049610181866156e-06,35,,36
ENSG00000124614,31.844319775596073,2.0584940445883985e-06,4,,5
ENSG00000261879,34.28744964450222,2.086961792758347e-06,5,,6
ENSG00000257218,36.61936392914654,2.0887650784741084e-06,6,,7
ENSG00000232388,92.22841336065974,2.0970384570809137e-06,38,,39
ENSG00000165272,76.62553608399882,2.1003953843885404e-06,28,,29
ENSG00000234982,29.128170289855078,2.1047626880918577e-06,3,,4
ENSG00000107829,81.36228585637154,2.123098590887619e-06,31,,32
ENSG00000116353,81.3398593413161,2.13876858731383e-06,31,,32
ENSG00000163812,152.02294685990339,2.1617070744303453e-06,80,,81
ENSG00000227373,40.89923659569392,2.177013583228495e-06,8,,9
ENSG00000108559,180.12875258799167,2.1782012930886785e-06,101,,102
ENSG00000087502,204.97282608695656,2.178488578649451e-06,120,,121
ENSG00000168802,93.60648876793378,2.1894213422902243e-06,39,,40
ENSG00000205020,34.169382581930115,2.203091631013731e-06,5,,6
ENSG00000185664,63.25803894927537,2.2045652124724018e-06,20,,21
ENSG00000146070,128.4001976284585,2.2385211292559057e-06,63,,64
ENSG00000243244,36.460352888603076,2.2430777541606103e-06,6,,7
ENSG00000155961,31.654932476943348,2.2502847551718407e-06,4,,5
ENSG00000168288,208.70169082125608,2.250693157664974e-06,123,,124
ENSG00000226696,36.41085136655416,2.2933894221382916e-06,6,,7
ENSG00000266469,31.6126740551293,2.2954514851198395e-06,4,,5
ENSG00000079459,246.85084541062798,2.300316937290469e-06,153,,154
ENSG00000000457,94.93123068382994,2.317469327716082e-06,40,,41
ENSG00000034693,118.35471155963484,2.3189432657945322e-06,56,,57
ENSG00000160284,46.78291062801932,2.349950127140796e-06,11,,12
ENSG00000229727,68.12746521558198,2.358220758144228e-06,23,,24
ENSG00000184515,36.33798373857537,2.369495828453851e-06,6,,7
ENSG00000167394,36.329176049425485,2.3788632922795866e-06,6,,7
ENSG00000211782,40.689079431067995,2.383015816843769e-06,8,,9
ENSG00000211935,119.65904868078782,2.398925025757702e-06,57,,58
ENSG00000243910,36.307469802300126,2.402106410318884e-06,6,,7
ENSG00000244575,46.721802142407064,2.409319331576628e-06,11,,12
ENSG00000234284,46.72180214240706,2.409319331576638e-06,11,,12
ENSG00000250182,31.48592692070953,2.436408858079299e-06,4,,5
ENSG00000253878,33.924802783696784,2.464500794570938e-06,5,,6
ENSG00000185641,52.3353458136067,2.467204862517172e-06,14,,15
ENSG00000177236,31.45484949832776,2.472266600391174e-06,4,,5
ENSG00000117877,31.45484949832776,2.472266600391174e-06,4,,5
ENSG00000119004,141.9103931830381,2.4770712627087715e-06,73,,74
ENSG00000143333,99.18906274884536,2.4850774972536514e-06,43,,44
ENSG00000163687,80.87725076855511,2.488529992573037e-06,31,,32
ENSG00000002587,31.424010217113665,2.508369095841711e-06,4,,5
ENSG00000175611,48.5215141053687,2.535537909723115e-06,12,,13
ENSG00000254126,31.393406350259987,2.5447150220280872e-06,4,,5
ENSG00000242615,31.393406350259987,2.5447150220280872e-06,4,,5
ENSG00000127419,82.34692790159542,2.56820704874433e-06,32,,33
ENSG00000135919,219.6014492753623,2.593406957905916e-06,132,,133
ENSG00000219507,54.032595099318875,2.5940608931339432e-06,15,,16
ENSG00000152242,62.79356060606061,2.6093073168348293e-06,20,,21
ENSG00000262766,31.30298058517911,2.655200009119186e-06,4,,5
ENSG00000236915,31.30298058517911,2.655200009119186e-06,4,,5
ENSG00000272473,31.302980585179107,2.655200009119186e-06,4,,5
ENSG00000235751,31.27329192546584,2.69250623454347e-06,4,,5
ENSG00000182141,75.88034851621809,2.697228893028561e-06,28,,29
ENSG00000072364,98.87836700336702,2.7273712797384357e-06,43,,44
ENSG00000237810,31.243825652716712,2.7300491323952875e-06,4,,5
ENSG00000228817,31.243825652716712,2.7300491323952875e-06,4,,5
ENSG00000273445,31.243825652716712,2.7300491323952875e-06,4,,5
ENSG00000141098,42.423554803606535,2.749474990676637e-06,9,,10
ENSG00000158887,31.22175112685473,2.7585153816386698e-06,4,,5
ENSG00000010932,31.214579277525417,2.7678273244878054e-06,4,,5
ENSG00000183671,60.88822971869957,2.797880901953782e-06,19,,20
ENSG00000224607,31.18569715745992,2.8056458815249514e-06,4,,5
ENSG00000260000,31.18555034750283,2.8058394246727667e-06,4,,5
ENSG00000268529,31.179705286245767,2.813555924050835e-06,4,,5
ENSG00000172331,86.69670766857467,2.822537098143235e-06,35,,36
ENSG00000177943,31.15673644659152,2.8440840392046764e-06,4,,5
ENSG00000248008,31.15673644659152,2.8440840392046764e-06,4,,5
ENSG00000132881,35.924251027471335,2.851663062350999e-06,6,,7
ENSG00000184860,31.128135194395423,2.8825597670984722e-06,4,,5
ENSG00000116918,31.128135194395423,2.8825597670984722e-06,4,,5
ENSG00000121152,80.40858793576186,2.899946448872399e-06,31,,32
ENSG00000198521,69.18561976372284,2.9026533690984323e-06,24,,25
ENSG00000184990,107.46779388083736,2.9103926396938413e-06,49,,50
ENSG00000198015,152.17865769496197,2.913164976026491e-06,81,,82
ENSG00000235231,31.0997442455243,2.9212652004808384e-06,4,,5
ENSG00000253704,31.0997442455243,2.9212652004808384e-06,4,,5
ENSG00000234616,31.0997442455243,2.9212652004808384e-06,4,,5
ENSG00000104047,117.4956117755031,2.9432918477810914e-06,56,,57
ENSG00000248636,181.45229468599035,2.9439057786837105e-06,103,,104
ENSG00000154655,97.13487750172533,2.9457145144815246e-06,42,,43
ENSG00000147127,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000259058,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000249160,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000273388,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000228251,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000237977,31.071561288952594,2.96019892493514e-06,4,,5
ENSG00000007312,143.936846983485,2.9720848019082e-06,75,,76
ENSG00000148344,31.015810276679844,3.0387455587017644e-06,4,,5
ENSG00000266604,31.015810276679844,3.0387455587017644e-06,4,,5
ENSG00000203943,30.988237765175384,3.0783556094804933e-06,4,,5
ENSG00000231605,30.988237765175384,3.0783556094804933e-06,4,,5
ENSG00000258605,30.988237765175384,3.0783556094804933e-06,4,,5
ENSG00000122188,62.3362280835107,3.079009522081555e-06,20,,21
ENSG00000108469,131.39231807550223,3.080742667373558e-06,66,,67
ENSG00000130520,113.03153820816866,3.091067462361556e-06,53,,54
ENSG00000165661,33.42751945786366,3.094896220395324e-06,5,,6
ENSG00000253204,21.753440101757626,3.1003343926490454e-06,1,0.012727272727272728,2
ENSG00000215492,21.753440101757626,3.1003343926490454e-06,1,0.012727272727272728,2
ENSG00000257495,21.753440101757626,3.1003343926490454e-06,1,0.012727272727272728,2
ENSG00000232040,21.753440101757626,3.1003343926490454e-06,1,0.012727272727272728,2
ENSG00000255621,37.93880837359099,3.1124274786500482e-06,7,,8
ENSG00000168070,30.960864333176374,3.1181882349101686e-06,4,,5
ENSG00000231943,30.960864333176374,3.1181882349101686e-06,4,,5
ENSG00000211717,30.960864333176374,3.1181882349101686e-06,4,,5
ENSG00000231031,33.40074935183631,3.133051074646281e-06,5,,6
ENSG00000233098,30.933687832342823,3.158241992812554e-06,4,,5
ENSG00000147117,30.933687832342823,3.158241992812554e-06,4,,5
ENSG00000253376,30.933687832342823,3.158241992812554e-06,4,,5
ENSG00000226942,30.933687832342823,3.158241992812554e-06,4,,5
ENSG00000214772,30.93368783234282,3.1582419928125544e-06,4,,5
ENSG00000136940,75.37739283108729,3.191141521909923e-06,28,,29
ENSG00000228868,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000223859,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000101883,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000235448,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000172995,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000254186,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000168065,30.90670614513532,3.198515436405146e-06,4,,5
ENSG00000205808,30.906706145135317,3.1985154364051465e-06,4,,5
ENSG00000216775,30.906706145135317,3.1985154364051465e-06,4,,5
ENSG00000225965,30.87991718426501,3.2390071146031565e-06,4,,5
ENSG00000273297,30.87991718426501,3.2390071146031565e-06,4,,5
ENSG00000267191,30.87991718426501,3.2390071146031565e-06,4,,5
ENSG00000176200,30.87991718426501,3.2390071146031565e-06,4,,5
ENSG00000239265,30.853318892155347,3.279715572315593e-06,4,,5
ENSG00000227192,30.853318892155347,3.279715572315593e-06,4,,5
ENSG00000259445,30.853318892155347,3.279715572315593e-06,4,,5
ENSG00000016391,30.853318892155347,3.279715572315593e-06,4,,5
ENSG00000211648,63.85016302135868,3.282053769721357e-06,21,,22
ENSG00000187513,35.58788007956806,3.3145420059020206e-06,6,,7
ENSG00000135587,63.80826714046823,3.3315270773930843e-06,21,,22
ENSG00000254521,45.9194361152757,3.341081780239509e-06,11,,12
ENSG00000203993,41.95841413213581,3.3445764712921603e-06,9,,10
ENSG00000187531,79.93590799297321,3.382266954722686e-06,31,,32
ENSG00000186166,108.3808876811594,3.3938116663217143e-06,50,,51
ENSG00000104907,148.84385064412237,3.4006539395483532e-06,79,,80
ENSG00000158234,67.07948679769706,3.405495521238431e-06,23,,24
ENSG00000144134,128.20550169734952,3.4255794432633056e-06,64,,65
ENSG00000135604,135.12832125603867,3.436820229986594e-06,69,,70
ENSG00000111203,99.5792265564241,3.4380818153922973e-06,44,,45
ENSG00000237461,45.834527338603436,3.45845483291087e-06,11,,12
ENSG00000232119,144.6923249976319,3.4648824155941236e-06,76,,77
ENSG00000131779,90.60344538378959,3.4675661359250838e-06,38,,39
ENSG00000169218,45.81896828350001,3.4804003589244043e-06,11,,12
ENSG00000106591,98.04790921638751,3.4941506377434712e-06,43,,44
ENSG00000117984,125.318538647343,3.5108189668353984e-06,62,,63
ENSG00000166896,61.90281632233529,3.600478472192432e-06,20,,21
ENSG00000198663,88.96342902554083,3.6070132286409495e-06,37,,38
ENSG00000010626,76.58901387484552,3.6148344526824055e-06,29,,30
ENSG00000237276,54.94078008344313,3.6366358719729976e-06,16,,17
ENSG00000164896,96.40699511467113,3.6642823831637763e-06,42,,43
ENSG00000178307,118.11691252587993,3.6673348208553005e-06,57,,58
ENSG00000176659,58.41478318380492,3.681069999315988e-06,18,,19
ENSG00000169372,71.7425620610563,3.6870317652487473e-06,26,,27
ENSG00000172594,63.52296363392379,3.688485423600418e-06,21,,22
ENSG00000160683,33.03078003776763,3.7108386028033533e-06,5,,6
ENSG00000272462,47.55295429208473,3.738142842447735e-06,12,,13
ENSG00000168476,73.2998785812085,3.7480679703701553e-06,27,,28
ENSG00000136158,53.07240991880748,3.7505421124747584e-06,15,,16
ENSG00000147044,65.14546035805627,3.7525983993611762e-06,22,,23
ENSG00000138964,229.26259881422925,3.7526017823004644e-06,141,,142
ENSG00000173566,32.99542349849445,3.771315393318829e-06,5,,6
ENSG00000246898,41.671295409563946,3.773830636132143e-06,9,,10
ENSG00000100413,56.60051602986387,3.78132280999526e-06,17,,18
ENSG00000100522,61.73883747592988,3.819645946402365e-06,20,,21
ENSG00000133997,73.19787549407116,3.878629486553579e-06,27,,28
ENSG00000264968,45.54430171277997,3.891263828466408e-06,11,,12
ENSG00000162813,84.13596071461124,3.903657521757337e-06,34,,35
ENSG00000148690,227.776268115942,3.924457234171609e-06,140,,141
ENSG00000179271,59.95184797320793,3.938283563998603e-06,19,,20
ENSG00000166352,65.00654186795492,3.940895059196505e-06,22,,23
ENSG00000005194,173.5888975155279,3.951076394478001e-06,98,,99
ENSG00000166295,181.45229468599032,3.962547220145364e-06,104,,105
ENSG00000231755,51.079859150511346,4.021613627914816e-06,14,,15
ENSG00000166228,71.47107340638624,4.042170962492635e-06,26,,27
ENSG00000103599,63.25803894927537,4.0534753354311044e-06,21,,22
ENSG00000141971,76.20909995546401,4.097218789627546e-06,29,,30
ENSG00000235288,74.62068778644866,4.105669495372796e-06,28,,29
ENSG00000249119,58.11557412820202,4.11015505845058e-06,18,,19
ENSG00000163882,119.09553701831257,4.128982581492007e-06,58,,59
ENSG00000104679,124.68861754187844,4.1530022094124235e-06,62,,63
ENSG00000162777,203.25181159420288,4.173082517768456e-06,121,,122
ENSG00000248373,88.4811298805864,4.187406866119991e-06,37,,38
ENSG00000126756,268.65036231884056,4.2653552383471695e-06,173,,174
ENSG00000168675,86.8924571524076,4.2842173091222815e-06,36,,37
ENSG00000105298,43.3013473861866,4.39242844653834e-06,10,,11
ENSG00000138767,159.879856078905,4.398404132455436e-06,88,,89
ENSG00000173674,219.60144927536226,4.405667379505397e-06,134,,135
ENSG00000124508,77.53562239325473,4.439500545192197e-06,30,,31
ENSG00000086189,124.4310920975323,4.4473240373777865e-06,62,,63
ENSG00000224643,47.10527190533174,4.4699894408003676e-06,12,,13
ENSG00000126456,115.97588854382334,4.472725421774901e-06,56,,57
ENSG00000239959,41.24986707380064,4.5044074536470504e-06,9,,10
ENSG00000189159,129.93596379465944,4.510214218309473e-06,66,,67
ENSG00000236030,41.24176548089592,4.51974323261604e-06,9,,10
ENSG00000136878,161.0541752933057,4.565752142045745e-06,89,,90
ENSG00000169607,47.038455204216085,4.590720168393318e-06,12,,13
ENSG00000119431,48.88950027841739,4.617498575705109e-06,13,,14
ENSG00000237429,37.03049516908213,4.628682178620466e-06,7,,8
ENSG00000225936,180.67374051069703,4.7203782894946936e-06,104,,105
ENSG00000142230,192.35205314009656,4.7361876238564504e-06,113,,114
ENSG00000163684,80.44573540453625,4.738309706900887e-06,32,,33
ENSG00000130396,66.11922554347825,4.759130487574688e-06,23,,24
ENSG00000267106,57.71576832183994,4.7611400068598245e-06,18,,19
ENSG00000250155,89.54197799985843,4.8023875194382855e-06,38,,39
ENSG00000198912,140.6560559006211,4.815990266488871e-06,74,,75
ENSG00000198270,89.50716897651047,4.853759862195085e-06,38,,39
ENSG00000226510,32.42628685657172,4.891194777011234e-06,5,,6
ENSG00000211939,46.87661030595813,4.89666124395067e-06,12,,13
ENSG00000104979,141.9406702898551,4.907618174615356e-06,75,,76
