,chi2,p_value,odds_ratio,chi_p_value,mi_score,hybrid_score
ENSG00000253204,21.753440101757626,3.1003343926490454e-06,0.012727272727272728,3.1003343926490454e-06,0.018455588192519575,12.702423917821534
ENSG00000215492,21.753440101757626,3.1003343926490454e-06,0.012727272727272728,3.1003343926490454e-06,0.018455588192519575,12.702423917821534
ENSG00000257495,21.753440101757626,3.1003343926490454e-06,0.012727272727272728,3.1003343926490454e-06,0.018455588192519575,12.702423917821534
ENSG00000232040,21.753440101757626,3.1003343926490454e-06,0.012727272727272728,3.1003343926490454e-06,0.018455588192519575,12.702423917821534
ENSG00000272620,16.167366600790512,5.7984485113187514e-05,0.05204460966542751,5.7984485113187514e-05,0.01740694488425651,9.772740301536817
ENSG00000224856,15.645537579297539,7.639262786251364e-05,0.02554744525547445,7.639262786251364e-05,0.015515710987026202,9.495138762354843
ENSG00000230327,10.402362282551397,0.0012585420735061045,0.0830188679245283,0.0012585420735061045,0.013629469256481327,6.691430702276308
ENSG00000227163,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000227311,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000226642,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000261161,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000211840,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000261497,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000211874,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000211862,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000237726,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000260368,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000261491,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000168453,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000235840,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000198739,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000236505,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000163283,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000163293,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000205830,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000244720,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000265161,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000258593,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000235007,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000220139,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000217379,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000235847,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000271543,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000228414,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000163581,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000165805,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000242683,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
